agency_code,class_code,distance,time,price
1,1,676.53,1.76,1434.38
1,1,676.53,1.76,1292.29
0,1,637.56,1.66,1487.52
0,1,637.56,1.66,1127.36
0,1,830.86,2.16,1684.05
0,1,830.86,2.16,1531.92
2,0,650.1,1.69,743.54
2,0,650.1,1.69,877.56
2,0,676.53,1.76,803.39
2,0,676.53,1.76,695.3
1,1,425.98,1.11,1287.52
1,1,425.98,1.11,898.04
2,2,676.53,1.76,1070.54
2,2,676.53,1.76,1013.4
0,0,830.86,2.16,964.83
0,0,830.86,2.16,811.73
0,0,486.52,1.26,513.06
0,0,486.52,1.26,829.91
0,0,277.7,0.72,583.6
0,0,277.7,0.72,506.56
2,1,257.81,0.67,992.17
2,1,257.81,0.67,824.31
2,2,676.56,1.76,1268.97
2,2,676.56,1.76,882.86
2,2,425.98,1.11,965.62
2,2,425.98,1.11,706.36
1,1,676.53,1.76,1434.38
1,1,676.53,1.76,1292.29
0,1,257.81,0.67,893.65
0,1,257.81,0.67,742.94
0,2,222.67,0.58,474.6
0,2,222.67,0.58,563.23
0,2,650.1,1.69,1021.53
0,2,650.1,1.69,1215.45
0,0,222.67,0.58,301.51
0,0,222.67,0.58,429.77
0,0,550.69,1.43,791.66
0,0,550.69,1.43,697.51
1,1,788.55,2.05,1596.61
1,1,788.55,2.05,1348.04
2,1,535.4,1.39,1069.12
2,1,535.4,1.39,1185.95
1,1,788.55,2.05,1596.61
1,1,788.55,2.05,1348.04
2,1,425.98,1.11,1214.82
2,1,425.98,1.11,959.29
0,2,242.21,0.63,568.38
0,2,242.21,0.63,573.61
2,1,637.56,1.66,1576.97
2,1,637.56,1.66,1087.18
2,0,392.76,1.02,446.73
2,0,392.76,1.02,647.9
0,2,788.55,2.05,1242.65
0,2,788.55,2.05,1016.53
1,1,425.98,1.11,898.04
1,1,425.98,1.11,1287.52
2,2,176.33,0.46,427.25
2,2,176.33,0.46,479.37
0,0,555.74,1.44,604.14
0,0,555.74,1.44,684.88
2,0,650.1,1.69,743.54
2,0,650.1,1.69,877.56
